Old Address,New Address,Structure Type
107 S Coffee,117 N Coffee Ave,Residence
109 S Coffee,125 N Coffee Ave,Residence
209 S Coffee,221 N Coffee Ave,Residence
210 S Coffee,229 N Coffee Ave,Residence
211 S Coffee,235 N Coffee Ave,Residence
414 N Coffee,414 N Coffee Ave,Business
550 Main & Coffee,556 N Coffee Ave,Residence
555 Coffee,563 N Coffee Ave,Residence
563 Coffee,575 N Coffee Ave,Residence
6th & N Coffee,612 N Coffee Ave,Church
6th & N Coffee,622 N Coffee Ave,Church
,633 N Coffee Ave,School
102 S Blake #2,118 N Blake Ave,Residence
112 S Blake Ave,128 N Blake Ave,Residence
107 S Blake Ave,119 N Blake Ave,Residence
206 S Blake,224 N Blake Ave,Residence
208 S Blake,228 N Blake Ave,Residence
205 S Blake Ave,215 N Blake Ave,Residence
207 S Blake Ave,221 N Blake Ave,Residence
501 E 5th St,508 N Blake Ave,Residence
,509 N Blake Ave,Residence
580 N Blake,582 N Blake Ave,Residence
529 S Blake,531 N Blake Ave,Residence
537 S Blake,541 N Blake Ave,Residence
,557 N Blake Ave,Residence
584 N Blake,589 N Blake Ave,Residence
617 N Blake,617 N Blake Ave,Residence
635 N Blake,625 N Blake Ave,School
637 N Blake,635 N Blake Ave,School
,808 N Blake Ave,School
,830 N Blake Ave,School
801 N Blake,811 N Blake Ave,Residence
803 N Blake,819 N Blake Ave,Residence
805 N Blake,827 N Blake Ave,Residence
808 N Blake,837 N Blake Ave,Residence
901 N Blake,915 N Blake Ave,Residence
903 N Blake,923 N Blake Ave,Residence
905 N Blake,935 N Blake Ave,Residence
1003 N Blake,1015 N Blake Ave,Residence
,1026 N Blake Ave,Residence
,1037 N Blake Ave,Residence
,1025 N Johnny Klaassen Ave,Residence
110 S Peck ,106 N Peck Ave,Residence
101 S Peck #12,112 N Peck Ave,Residence
102 S Peck ,116 N Peck Ave,Residence
101 S Peck #8,105 N Peck Ave,Residence
101 S Peck #9,111 N Peck Ave,Residence
101 S Peck #10,117 N Peck Ave,Residence
101 S Peck #11,121 N Peck Ave,Residence
,125 N Peck Ave,Residence
110 S Peck ,131 N Peck Ave,Residence
218 S Peck,218 N Peck Ave,Residence
230 S Peck,228 N Peck Ave,Residence
205 S Peck,211 N Peck Ave,Residence
210 S Peck,225 N Peck Ave,Residence
326 S Peck,322 N Peck Ave,Residence
338 S Peck,338 N Peck Ave,Residence
305 S Peck,313 N Peck Ave,Residence
329 S Peck,327 N Peck Ave,Residence
327 S Peck,335 N Peck Ave,Residence
5th & Peck,412 N Peck Ave,Business
406 S Peck,426 N Peck Ave,Residence
506 S Peck,510 N Peck Ave,Residence
,511 N Peck Ave,Residence
508 S Peck,514 N Peck Ave,Residence
516 S Peck,518 N Peck Ave,Residence
538 Peck,536 N Peck Ave,Residence
568 Peck,570 N Peck Ave,Residence
507 Peck,523 N Peck Ave,Residence
551 Peck,563 N Peck Ave,Residence
585 N Peck,583 N Peck Ave,Residence
587 N Peck,589 N Peck Ave,Residence
622 N Peck,618 N Peck Ave,Residence
630 N Peck,622 N Peck Ave,Residence
626 Peck,634 N Peck Ave,Residence
629 N Peck,629 N Peck Ave,Residence
701 N Peck,711 N Peck Ave,Residence
703 N Peck,719 N Peck Ave,Residence
705 N Peck,727 N Peck Ave,Residence
709 N Peck,735 N Peck Ave,Residence
802 N Peck,806 N Peck Ave,Residence
804 N Peck,816 N Peck Ave,Residence
806 N Peck,824 N Peck Ave,Residence
808 N Peck,832 N Peck Ave,Residence
801 N Peck,809 N Peck Ave,Residence
803 N Peck,817 N Peck Ave,Residence
805 N Peck,825 N Peck Ave,Residence
807 N Peck,835 N Peck Ave,Residence
902 N Peck,910 N Peck Ave,Residence
904 N Peck,920 N Peck Ave,Residence
906 N Peck,932 N Peck Ave,Residence
901 N Peck,913 N Peck Ave,Residence
903 N Peck,919 N Peck Ave,Residence
905 N Peck,935 N Peck Ave,Residence
,1016 N Peck Ave,Residence
,1025 N Peck Ave,Residence
1004 N Peck,1028 N Peck Ave,Residence
1001 N Peck,1005 N Peck Ave,Residence
100 S Hunt #7,108 N Hunt Ave,Residence
100 S Hunt #6,112 N Hunt Ave,Residence
100 S Hunt #5,116 N Hunt Ave,Residence
100 S Hunt #4,120 N Hunt Ave,Residence
100 S Hunt #3,124 N Hunt Ave,Residence
100 S Hunt #2,130 N Hunt Ave,Residence
100 S Hunt #1,134 N Hunt Ave,Residence
234 S Hunt ,230 N Hunt Ave,Residence
236 S Hunt,227 N Hunt Ave,Residence
318 S Hunt,316 N Hunt Ave,Residence
320 S Hunt,324 N Hunt Ave,Residence
235 S Hunt,307 N Hunt Ave,Residence
321 S Hunt,329 N Hunt Ave,Residence
401 S Hunt,417 N Hunt Ave,Residence
403 S Hunt,427 N Hunt Ave,Residence
433 S Hunt,435 N Hunt Ave,Residence
576 N Hunt ,582 N Hunt Ave,Residence
584 N Hunt,590 N Hunt Ave,Residence
509 S Hunt,509 N Hunt Ave,Residence
517 S Hunt,523 N Hunt Ave,Residence
575 N Hunt,583 N Hunt Ave,Residence
583 N Hunt,593 N Hunt Ave,Residence
626 N Hunt,622 N Hunt Ave,Residence
634 N Hunt,636 N Hunt Ave,Residence
601 N Hunt,613 N Hunt Ave,Residence
633 N Hunt,627 N Hunt Ave,Residence
702 N Hunt,708 N Hunt Ave,Residence
704 N Hunt,716 N Hunt Ave,Residence
708 N Hunt,724 N Hunt Ave,Residence
710 N Hunt,732 N Hunt Ave,Residence
701 N Hunt,711 N Hunt Ave,Residence
703 N Hunt,717 N Hunt Ave,Residence
705 N Hunt,727 N Hunt Ave,Residence
711 N Hunt,735 N Hunt Ave,Residence
802 N Hunt,806 N Hunt Ave,Residence
804 N Hunt,816 N Hunt Ave,Residence
806 N Hunt,824 N Hunt Ave,Residence
808 N Hunt,832 N Hunt Ave,Residence
801 N Hunt,811 N Hunt Ave,Residence
805 N Hunt,819 N Hunt Ave,Residence
809 N Hunt,827 N Hunt Ave,Residence
811 N Hunt,831 N Hunt Ave,Residence
902 N Hunt,910 N Hunt Ave,Residence
904 N Hunt,920 N Hunt Ave,Residence
906 N Hunt,930 N Hunt Ave,Residence
901 N Hunt,915 N Hunt Ave,Residence
903 N Hunt,925 N Hunt Ave,Residence
909 N Hunt,939 N Hunt Ave,Residence
101 E 1st,116 N Brewer Ave,Residence
230 S Brewer,228 N Brewer Ave,Residence
231 S Brewer #5,223 N Brewer Ave,Residence
231 S Brewer #4,225 N Brewer Ave,Residence
231 S Brewer #3,227 N Brewer Ave,Residence
231 S Brewer #2,233 N Brewer Ave,Residence
350 S Brewer,312 N Brewer Ave,Residence
340 S Brewer,324 N Brewer Ave,Residence
301 Brewer,311 N Brewer Ave,Residence
361 S Brewer,327 N Brewer Ave,Residence
203 E 4th,420 N Brewer Ave,Residence
200 E 4th ,421 N Brewer Ave,Residence
,424 N Brewer Ave,Residence
605 N Brewer,619 N Brewer Ave,Residence
609 N Brewer,627 N Brewer Ave,Residence
702 N Brewer,708 N Brewer Ave,Residence
704 N Brewer,716 N Brewer Ave,Residence
706 N Brewer,724 N Brewer Ave,Residence
708 N Brewer,734 N Brewer Ave,Residence
703 N Brewer,725 N Brewer Ave,Residence
707 N Brewer,737 N Brewer Ave,Residence
800 N Brewer,808 N Brewer Ave,Residence
804 N Brewer,818 N Brewer Ave,Residence
808 N Brewer,832 N Brewer Ave,Residence
801 N Brewer,811 N Brewer Ave,Residence
803 N Brewer,819 N Brewer Ave,Residence
805 N Brewer,827 N Brewer Ave,Residence
807 N Brewer,835 N Brewer Ave,Residence
902 N Brewer,910 N Brewer Ave,Residence
908 N Brewer,922 N Brewer Ave,Residence
912 N Brewer,926 N Brewer Ave,Residence
901 N Brewer,911 N Brewer Ave,Residence
903 N Brewer,927 N Brewer Ave,Residence
,939 N Brewer Ave,Residence
226 S Broadway,220 N Broadway Ave,Residence
310 S Broadway,310 N Broadway Ave,Residence
309 S Broadway,313 N Broadway Ave,Residence
311 S Broadway,327 N Broadway Ave,Residence
402 S Broadway,408 N Broadway Ave,Residence
414 S Broadway,414 N Broadway Ave,Residence
418 S Broadway,422 N Broadway Ave,Residence
426 S Broadway,430 N Broadway Ave,Residence
434 S Broadway,432 N Broadway Ave,Residence
401 S Broadway,413 N Broadway Ave,Residence
413 S Broadway,421 N Broadway Ave,Residence
415 S Broadway,427 N Broadway Ave,Residence
502 S Broadway,508 N Broadway Ave,Residence
,516 N Broadway Ave,Residence
516 S Broadway,522 N Broadway Ave,Residence
518 S Broadway,530 N Broadway Ave,Library
562 N Broadway,568 N Broadway Ave,Business
584 N Broadway,590 N Broadway Ave,Residence
,509 N Broadway Ave,Police
,521 N Broadway Ave,City
575 N Broadway,581 N Broadway Ave,Residence
579 N Broadway,595 N Broadway Ave,Medical
602 N Broadway,604 N Broadway Ave,Residence
610 N Broadway,612 N Broadway Ave,Residence
618 N Broadway,620 N Broadway Ave,Residence
622 N Broadway,622 N Broadway Ave,Residence
630 N Broadway,634 N Broadway Ave,Residence
601 N Broadway,609 N Broadway Ave,Residence
613 N Broadway,619 N Broadway Ave,Residence
621 N Broadway,625 N Broadway Ave,Residence
629 N Broadway,631 N Broadway Ave,Residence
702 N Broadway,708 N Broadway Ave,Residence
706 N Broadway,718 N Broadway Ave,Residence
710 N Broadway,730 N Broadway Ave,Residence
701 N Broadway,711 N Broadway Ave,Residence
705 N Broadway,721 N Broadway Ave,Residence
709 N Broadway,735 N Broadway Ave,Residence
802 N Broadway,806 N Broadway Ave,Residence
804 N Broadway,816 N Broadway Ave,Residence
806 N Broadway,826 N Broadway Ave,Residence
810 N Broadway,830 N Broadway Ave,Residence
801 N Broadway,811 N Broadway Ave,Residence
805 N Broadway,821 N Broadway Ave,Residence
809 N Broadway,827 N Broadway Ave,Residence
811 N Broadway,835 N Broadway Ave,Residence
902 N Broadway,904 N Broadway Ave,Residence
904 N Broadway,912 N Broadway Ave,Residence
,928 N Broadway Ave,Residence
901 N Broadway,909 N Broadway Ave,Residence
903 N Broadway,915 N Broadway Ave,Residence
902 N Sims Ave,906 N Sims Ave,Residence
904 N Sims Ave,914 N Sims Ave,Residence
901 N Sims Ave,907 N Sims Ave,Residence
903 N Sims Ave,913 N Sims Ave,Residence
130 Arapaho,130 N Arapaho Ave,Business
,103 N Arapaho Ave,Fire
130 Arapaho,133 N Arapaho Ave,Business
226 Arapaho,218 N Arapaho Ave,Business
,226 N Arapaho Ave,Residence
,234 N Arapaho Ave,Residence
213 Arapaho,213 N Arapaho Ave,Business
237 S Arapaho,223 N Arapaho Ave,Business
302 S Arapaho,304 N Arapaho Ave,Residence
310 S Arapaho,316 N Arapaho Ave,Residence
326 S Arapaho,320 N Arapaho Ave,Residence
336 Arapaho,328 N Arapaho Ave,Residence
301 Arapaho,307 N Arapaho Ave,Residence
303 Arapaho,311 N Arapaho Ave,Residence
309 Arapaho,319 N Arapaho Ave,Residence
317 S Arapaho,325 N Arapaho Ave,Residence
337 Arapaho,335 N Arapaho Ave,Residence
428 S Arapaho,424 N Arapaho Ave,Church
401 S Arapaho,411 N Arapaho Ave,Residence
419 S Arapaho,419 N Arapaho Ave,Residence
425 S Arapaho,427 N Arapaho Ave,Residence
437 S Arapaho,435 N Arapaho Ave,Residence
510 S Arapaho,514 N Arapaho Ave,Business
588 N Arapaho,592 N Arapaho Ave,Residence
509 S Arapaho,507 N Arapaho Ave,Business
521 N Arapaho,525 N Arapaho Ave,Business
537 N Arapaho,539 N Arapaho Ave,Business
,589 N Arapaho Ave,Church
626 N Arapaho,618 N Arapaho Ave,Residence
630 N Arapaho,626 N Arapaho Ave,Residence
638 N Arapaho,628 N Arapaho Ave,Residence
601 N Arapaho,607 N Arapaho Ave,Residence
601 1/2 N Arapaho,613 N Arapaho Ave,Residence
625 N Arapaho,619 N Arapaho Ave,Residence
629 N Arapaho,621 N Arapaho Ave,Residence
637 N Arapaho,633 N Arapaho Ave,Residence
702 N Arapaho,710 N Arapaho Ave,Residence
710 N Arapaho,720 N Arapaho Ave,Residence
718 N Arapaho,732 N Arapaho Ave,Residence
705N Arapaho,713 N Arapaho Ave,Residence
707 N Arapaho,725 N Arapaho Ave,Residence
709 N Arapaho,735 N Arapaho Ave,Residence
800 N Arapaho,800 N Arapaho Ave,Business
711 N Arapaho,805 N Arapaho Ave,Residence
,223 N Caddo Ave,Church
,318 N Caddo Ave,Business
309 S Caddo,311 N Caddo Ave,Residence
333 S Caddo ,333 N Caddo Ave,Residence
409 S Caddo,411 N Caddo Ave,Residence
417 S Caddo,417 N Caddo Ave,Residence
425 S Caddo,423 N Caddo Ave,Residence
433 S Caddo,431 N Caddo Ave,Residence
505 N Caddo,511 N Caddo Ave,Residence
,531 N Caddo Ave,Residence
,543 N Caddo Ave,Residence
551 N Caddo,559 N Caddo Ave,Residence
567 N Caddo,573 N Caddo Ave,Residence
238 N Caddo,581 N Caddo Ave,Residence
583 N Caddo,593 N Caddo Ave,Residence
628 N Caddo,628 N Caddo Ave,Residence
605 N Caddo,611 N Caddo Ave,Residence
613 N Caddo,617 N Caddo Ave,Residence
626 N Caddo,627 N Caddo Ave,Residence
637 N Caddo,631 N Caddo Ave,Residence
800 N Caddo,727 N Caddo Ave,Residence
803 N Arapaho,814 N Caddo Ave,Residence
805 N Arapaho,820 N Caddo Ave,Residence
807 N Arapaho,826 N Caddo Ave,Residence
,235 N Cowles Ave,City
,320 N Cowles Ave,City
,324 N Cowles Ave,City
326 S Cowles Ave #2,328 N Cowles Ave,City
,321 N Cowles Ave,City
406 Cowles,416 N Cowles Ave,Residence
485 S Cowles,435 N Cowles Ave,Residence
534 S Cowles,534 N Cowles Ave,Residence
505 S Cowles,511 N Cowles Ave,Residence
517 Cowles,521 N Cowles Ave,Residence
533 S Cowles,541 N Cowles Ave,Residence
551 N Cowles,565 N Cowles Ave,Residence
605 Cowles,601 N Cowles Ave,Residence
,605 N Watts Ave,Residence
300 S Simpson,313 N Simpson Ave,Residence
310 S Simpson,329 N Simpson Ave,Residence
600 S Simpson,616 W Main St,Residence
,414 N Salyer Ave,Residence
S Salyer Ave,424 N Salyer Ave,Residence
400 S Salyer Ave,436 N Salyer Ave,Residence
401 S Salyer Ave,411 N Salyer Ave,Residence
430 S Salyer Ave,435 N Salyer Ave,Residence
538 S Salyer Ave,532 N Salyer Ave,Residence
540 N Salyer,582 N Salyer Ave,Residence
535 S Salyer Ave,517 N Salyer Ave,Residence
537 S Salyer Ave,531 N Salyer Ave,Residence
600 1/2 Salyer,608 N Salyer Ave,Residence
601 N Salyer,626 N Salyer Ave,Residence
,614 N Salyer Ave,Residence
541 N Salyer,585 N Salyer Ave,Residence
200 S Nance Ave,200 N Nance Ave,Residence
300 S Nance Ave,327 N Nance Ave,Residence
205 S Coleman Ave,220 N Coleman Ave,Residence
300 S Coleman Ave,235 N Coleman Ave,Residence
1003 E 1st St,903 E 1st St,Residence
,914 E 1st St,City
,1214 E 1st St,City
105 E 2nd ,113 E 2nd St,Residence
133 E 2nd ,131 E 2nd St,Residence
205 E 2nd,215 E 2nd St,Residence
235 E 2nd,221 E 2nd St,Residence
,332 E 2nd St,Residence
406 E 2nd,408 E 2nd St,Residence
410 E 2nd ,428 E 2nd St,Church
415 E 2nd,425 E 2nd St,Residence
538 E 2nd ,510 E 2nd St,Residence
,526 E 2nd St,Residence
535 E 2nd,511 E 2nd St,Residence
537 E 2nd,529 E 2nd St,Residence
103 W 2nd,107 W 2nd St,Business
,312 W 2nd St,Business
608 W 2nd,631 W 2nd St,Residence
706 W 2nd,723 W 2nd St,Residence
802 W 2nd,809 W 2nd St,Residence
108 E 3rd,114 E 3rd St,Residence
110 E 3rd,120 E 3rd St,Residence
,123 E 3rd St,Residence
202 E 3rd,212 E 3rd St,Residence
238 E 3rd,232 E 3rd St,Residence
203 E 3rd,211 E 3rd St,Residence
324 E 3rd,322 E 3rd St,Residence
305 E 3rd,307 E 3rd St,Residence
412 E 3rd,426 E 3rd St,Residence
401 E 3rd,411 E 3rd St,Residence
403 E 3rd,419 E 3rd St,Residence
411 E 3rd,431 E 3rd St,Residence
237 W 3rd,108 W 3rd St,Residence
113 W 3rd,123 W 3rd St,Residence
232 W 3rd,222 W 3rd St,Residence
234  W 3rd,230 W 3rd St,Residence
322 W 3rd,318 W 3rd St,Residence
338 W 3rd,326 W 3rd St,Residence
329 W 3rd,325 W 3rd St,Residence
337 W 3rd,329 W 3rd St,Residence
102 E 4th,106 E 4th St,Residence
,133 E 4th St,Residence
200 E 4th,141 E 4th St,Residence
204 E 4th,208 E 4th St,Residence
204 1/2 E 4th,212 E 4th St,Residence
,220 E 4th St,Residence
232 E 4th,230 E 4th St,Residence
203 E 4th,213 E 4th St,Residence
237 E 4th,225 E 4th St,Residence
233 E 4th,233 E 4th St,Residence
300 E 4th,306 E 4th St,Residence
302 E 4th,312 E 4th St,Residence
301 E 4th,311 E 4th St,Residence
,320 E 4th St,Residence
305 E 4th,323 E 4th St,Residence
,324 E 4th St,Residence
307 E 4th,333 E 4th St,Residence
103 E 4th,108 W 4th St,Residence
120 W 4th,118 W 4th St,Residence
221 W 4th,119 W 4th St,Residence
226 W 4th,226 W 4th St,Residence
225 W 4th,221 W 4th St,Residence
233 W 4th,231 W 4th St,Residence
326 W 4th,322 W 4th St,Residence
325 W 4th,317 W 4th St,Residence
,325 W 4th St,Residence
,335 W 4th St,Residence
,421 W 4th St,City
501 W 4th,507 W 4th St,Apartment
602 W 4th,613 W 4th St,Residence
416 W 4th,430 N Nance Ave,Residence
,914 W 4th St,Business
909 W 4th,926 W 4th St,Business
909 W 4th,928 W 4th St,Residence
105 E 5th,124 E 5th St,Residence
109 E 5th,119 E 5th St,Residence
111 E 5th,125 E 5th St,Residence
,208 E 5th St,Residence
223 E 5th,212 E 5th St,Residence
234 E 5th #5,224 E 5th St,Residence
231 E 5th,211 E 5th St,Residence
237 E 5th,221 E 5th St,Residence
302 E 5th,310 E 5th St,Residence
306 E 5th,318 E 5th St,Residence
318 E 5th,322 E 5th St,Residence
307 E 5th,309 E 5th St,Residence
309 E 5th,319 E 5th St,Residence
402 E 5th,406 E 5th St,Residence
436 E 5th ,420 E 5th St,Residence
440 E 5th,432 E 5th St,Residence
423 E 5th,419 E 5th St,Residence
425 E 5th,425 E 5th St,Residence
105 W 5th,105 W 5th St,Police
,109 W 5th St,Fire
,221 W 5th St,Business
226 W 5th,222 W 5th St,Residence
230 W 5th,230 W 5th St,Residence
,325 W 5th St,Residence
318 W 5th,320 W 5th St,Residence
338 W 5th,332 W 5th St,Residence
500 W 5th,534 W 5th St,School
407 W 5th,517 W 5th St,Residence
507 W 5th,523 W 5th St,Residence
501 W 5th,527 W 5th St,Residence
532 Salyer,627 W 5th St,Residence
104 E Main,104 E Main St,Business
,122 E Main St,Business
,135 E Main St,Residence
136 E Main,138 E Main St,Residence
111 E Main,107 E Main St,Business
,119 E Main St,Business
129 E Main,129 E Main St,Residence
130 E Main,130 E Main St,Residence
202 E Main,206 E Main St,Residence
218 E Main,222 E Main St,Residence
238 E Main,234 E Main St,Residence
201 E Main,211 E Main St,Residence
209 E Main,217 E Main St,Residence
217 E Main,225 E Main St,Residence
236 E Main,233 E Main St,Church
337 E Main,308 E Main St,Church
305 E Main,311 E Main St,Residence
317 E Main,319 E Main St,Residence
418 E Main,412 E Main St,Residence
426 E Main,420 E Main St,Residence
401 E Main,411 E Main St,Residence
417 E Main,419 E Main St,Residence
425 E Main,429 E Main St,Residence
506 E Main,510 E Main St,Residence
526 E Main,516 E Main St,Residence
538 E Main,528 E Main St,Residence
525 E Main,517 E Main St,Residence
110 W Main,108 W Main St,Business
114 W Main,114 W Main St,Business
118 W Main,118 W Main St,Business
101 W Main,132 W Main St,Business
101 W Main,103 W Main St,Business
109 W Main,109 W Main St,Business
121 W Main,115 W Main St,Business
125 W Main,119 W Main St,Business
129 W Main,121 W Main St,Business
133 W Main,125 W Main St,Business
137 W Main,129 W Main St,City
139 W Main,131 W Main St,Business
145 W Main,133 W Main St,Business
220 W Main,214 W Main St,Residence
226 W Main,220 W Main St,Business
230 W Main,224 W Main St,Business
238 W Main,234 W Main St,Residence
217 W Main,205 W Main St,Residence
221 W Main,209 W Main St,Business
220 W Main,217 W Main St,Business
,221 W Main St,Business
138 W Main,227 W Main St,Post Office
332 W Main,324 W Main St,Residence
,319 W Main St,Residence
341 W Main,331 W Main St,Residence
401 W Main,506 W Main St,Residence
403 W Main,528 W Main St,Residence
,823 W Main St,Residence
400 W Main,921 W Main St,Business
,939 W Main St,Business
136 E 6th,128 E 6th St,Residence
138 E 6th,136 E 6th St,Residence
129 E 6th,127 E 6th St,Residence
137 E 6th,135 E 6th St,Residence
202 E 6th,206 E 6th St,Residence
210 E 6th,214 E 6th St,Residence
201 E 6th,207 E 6th St,Residence
213 E 6th,217 E 6th St,Residence
217 E 6th,223 E 6th St,Residence
314 E 6th,312 E 6th St,Residence
318 E 6th,318 E 6th St,Residence
326 E 6th,324 E 6th St,Residence
309 E 6th,313 E 6th St,Residence
320 E 6th,327 E 6th St,Residence
337 E 6th,333 E 6th St,Residence
400 E 6th,406 E 6th St,Residence
,407 E 6th St,Residence
,413 E 6th St,Residence
410 E 6th,414 E 6th St,Residence
422 E 6th,422 E 6th St,Residence
,407 E 6th St,Residence
401 E 6th,413 E 6th St,Residence
419 E 6th,419 E 6th St,Residence
423 E 6th,429 E 6th St,Residence
506 E 6th,506 E 6th St,Church
528 E 6th,530 E 6th St,Residence
529 E 6th,521 E 6th St,Residence
126 W 6th,126 W 6th St,Residence
117 W 6th,113 W 6th St,Business
137 W 6th #1,123 W 6th St,Residence
137 W 6th #2,127 W 6th St,Residence
137 W 6th #3,133 W 6th St,Residence
221 W 6th,213 W 6th St,Residence
233 W 6th,221 W 6th St,Residence
237 W 6th ,233 W 6th St,Residence
,314 W 6th St,Residence
,326 W 6th St,Residence
337 W 6th,333 W 6th St,Residence
,118 E 7th St,Residence
123 E 7th,133 E 7th St,Residence
202 E 7th,210 E 7th St,Residence
222 E 7th,216 E 7th St,Residence
320 E 7th,314 E 7th St,Residence
,322 E 7th St,Residence
Peck & 7th,326 E 7th St,Residence
,334 E 7th St,Residence
426 E 7th,418 E 7th St,Residence
,407 E 7th St,School
437 E 7th,433 E 7th St,School
435 E 7th,439 E 7th St,School
603 E 7th,603 E 7th St,School
600 E 6th,637 E 7th St,Residence
232 W 7th ,224 W 7th St,Residence
230 W 7th,230 W 7th St,Residence
902 9th St Cir,506 9th St Circle,Residence
904 9th St Cir,512 9th St Circle,Residence
906 9th St Cir,524 9th St Circle,Residence
908 9th St Cir,532 9th St Circle,Residence
913 9th St Cir,540 9th St Circle,Residence
901 9th St Cir,505 9th St Circle,Residence
903 9th St Cir,513 9th St Circle,Residence
905 9th St Cir,525 9th St Circle,Residence
909 9th St Cir,533 9th St Circle,Residence
911 9th St Cir,539 9th St Circle,Residence
,3090 Old 66 Rd,Business
,3004 Old 66 Rd,Business
,2198 Old 66 Rd,Business
,2104 Old 66 Rd,Residence
